date,frequency,date_int
2014-01-01 13:30:00,4,20140101133000
2014-01-01 13:45:00,10,20140101134500
2014-01-01 14:00:00,10,20140101140000
2014-01-01 14:15:00,10,20140101141500
2014-01-01 14:30:00,4,20140101143000
2014-01-01 14:45:00,12,20140101144500
2014-01-01 15:00:00,18,20140101150000
2014-01-01 15:15:00,6,20140101151500
2014-01-01 15:30:00,6,20140101153000
2014-01-01 15:45:00,9,20140101154500
2014-01-01 16:00:00,4,20140101160000
2014-01-01 16:15:00,2,20140101161500
2014-01-01 16:30:00,13,20140101163000
2014-01-01 16:45:00,6,20140101164500
2014-01-01 17:00:00,2,20140101170000
2014-01-01 17:15:00,5,20140101171500
2014-01-01 17:30:00,2,20140101173000
2014-01-01 17:45:00,5,20140101174500
2014-01-01 18:00:00,4,20140101180000
2014-01-01 18:15:00,0,20140101181500
2014-01-01 18:30:00,0,20140101183000
2014-01-01 18:45:00,0,20140101184500
2014-01-01 19:00:00,0,20140101190000
2014-01-01 19:15:00,0,20140101191500
2014-01-01 19:30:00,0,20140101193000
2014-01-01 19:45:00,0,20140101194500
2014-01-01 20:00:00,0,20140101200000
2014-01-01 20:15:00,0,20140101201500
2014-01-01 20:30:00,0,20140101203000
2014-01-01 20:45:00,0,20140101204500
2014-01-01 21:00:00,0,20140101210000
2014-01-01 21:15:00,0,20140101211500
2014-01-01 21:30:00,0,20140101213000
2014-01-01 21:45:00,0,20140101214500
2014-01-01 22:00:00,0,20140101220000
2014-01-01 22:15:00,0,20140101221500
2014-01-01 22:30:00,0,20140101223000
2014-01-01 22:45:00,0,20140101224500
2014-01-01 23:00:00,0,20140101230000
2014-01-01 23:15:00,0,20140101231500
2014-01-01 23:30:00,0,20140101233000
2014-01-01 23:45:00,0,20140101234500
2014-01-02 00:00:00,0,20140102000000
2014-01-02 00:15:00,0,20140102001500
2014-01-02 00:30:00,0,20140102003000
2014-01-02 00:45:00,0,20140102004500
2014-01-02 01:00:00,0,20140102010000
2014-01-02 01:15:00,0,20140102011500
2014-01-02 01:30:00,0,20140102013000
