date,frequency,date_int
2014-01-03 14:30:00,1,20140103143000
2014-01-03 14:45:00,0,20140103144500
2014-01-03 15:00:00,0,20140103150000
2014-01-03 15:15:00,0,20140103151500
2014-01-03 15:30:00,0,20140103153000
2014-01-03 15:45:00,0,20140103154500
2014-01-03 16:00:00,0,20140103160000
2014-01-03 16:15:00,0,20140103161500
2014-01-03 16:30:00,0,20140103163000
2014-01-03 16:45:00,0,20140103164500
2014-01-03 17:00:00,0,20140103170000
2014-01-03 17:15:00,0,20140103171500
2014-01-03 17:30:00,0,20140103173000
2014-01-03 17:45:00,0,20140103174500
2014-01-03 18:00:00,0,20140103180000
2014-01-03 18:15:00,0,20140103181500
2014-01-03 18:30:00,0,20140103183000
2014-01-03 18:45:00,0,20140103184500
2014-01-03 19:00:00,0,20140103190000
2014-01-03 19:15:00,0,20140103191500
2014-01-03 19:30:00,0,20140103193000
2014-01-03 19:45:00,0,20140103194500
2014-01-03 20:00:00,0,20140103200000
2014-01-03 20:15:00,0,20140103201500
2014-01-03 20:30:00,0,20140103203000
2014-01-03 20:45:00,0,20140103204500
2014-01-03 21:00:00,0,20140103210000
2014-01-03 21:15:00,0,20140103211500
2014-01-03 21:30:00,0,20140103213000
2014-01-03 21:45:00,0,20140103214500
2014-01-03 22:00:00,0,20140103220000
2014-01-03 22:15:00,0,20140103221500
2014-01-03 22:30:00,0,20140103223000
2014-01-03 22:45:00,0,20140103224500
2014-01-03 23:00:00,0,20140103230000
2014-01-03 23:15:00,0,20140103231500
2014-01-03 23:30:00,0,20140103233000
2014-01-03 23:45:00,0,20140103234500
2014-01-04 00:00:00,0,20140104000000
2014-01-04 00:15:00,0,20140104001500
2014-01-04 00:30:00,0,20140104003000
2014-01-04 00:45:00,0,20140104004500
2014-01-04 01:00:00,0,20140104010000
2014-01-04 01:15:00,0,20140104011500
2014-01-04 01:30:00,0,20140104013000
2014-01-04 01:45:00,0,20140104014500
2014-01-04 02:00:00,0,20140104020000
2014-01-04 02:15:00,0,20140104021500
2014-01-04 02:30:00,0,20140104023000
2014-01-04 02:45:00,0,20140104024500
2014-01-04 03:00:00,0,20140104030000
2014-01-04 03:15:00,0,20140104031500
2014-01-04 03:30:00,0,20140104033000
2014-01-04 03:45:00,0,20140104034500
2014-01-04 04:00:00,0,20140104040000
2014-01-04 04:15:00,0,20140104041500
2014-01-04 04:30:00,0,20140104043000
2014-01-04 04:45:00,0,20140104044500
2014-01-04 05:00:00,0,20140104050000
2014-01-04 05:15:00,0,20140104051500
2014-01-04 05:30:00,0,20140104053000
2014-01-04 05:45:00,0,20140104054500
2014-01-04 06:00:00,0,20140104060000
2014-01-04 06:15:00,0,20140104061500
2014-01-04 06:30:00,0,20140104063000
2014-01-04 06:45:00,0,20140104064500
2014-01-04 07:00:00,0,20140104070000
2014-01-04 07:15:00,0,20140104071500
2014-01-04 07:30:00,0,20140104073000
2014-01-04 07:45:00,0,20140104074500
2014-01-04 08:00:00,0,20140104080000
2014-01-04 08:15:00,0,20140104081500
2014-01-04 08:30:00,0,20140104083000
2014-01-04 08:45:00,0,20140104084500
2014-01-04 09:00:00,0,20140104090000
2014-01-04 09:15:00,0,20140104091500
2014-01-04 09:30:00,0,20140104093000
2014-01-04 09:45:00,0,20140104094500
2014-01-04 10:00:00,0,20140104100000
2014-01-04 10:15:00,0,20140104101500
2014-01-04 10:30:00,0,20140104103000
2014-01-04 10:45:00,0,20140104104500
2014-01-04 11:00:00,0,20140104110000
2014-01-04 11:15:00,0,20140104111500
2014-01-04 11:30:00,0,20140104113000
2014-01-04 11:45:00,0,20140104114500
2014-01-04 12:00:00,0,20140104120000
