frequency,date_int
0,20180101000000
0,20180101001500
0,20180101003000
0,20180101004500
0,20180101010000
0,20180101011500
0,20180101013000
0,20180101014500
0,20180101020000
0,20180101021500
0,20180101023000
0,20180101024500
0,20180101030000
0,20180101031500
0,20180101033000
0,20180101034500
0,20180101040000
0,20180101041500
0,20180101043000
0,20180101044500
0,20180101050000
0,20180101051500
0,20180101053000
0,20180101054500
0,20180101060000
0,20180101061500
0,20180101063000
0,20180101064500
0,20180101070000
0,20180101071500
0,20180101073000
0,20180101074500
0,20180101080000
0,20180101081500
0,20180101083000
0,20180101084500
0,20180101090000
0,20180101091500
0,20180101093000
0,20180101094500
0,20180101100000
0,20180101101500
0,20180101103000
0,20180101104500
0,20180101110000
0,20180101111500
0,20180101113000
0,20180101114500
0,20180101120000
0,20180101121500
0,20180101123000
0,20180101124500
0,20180101130000
0,20180101131500
24,20180101133000
8,20180101134500
8,20180101140000
4,20180101141500
0,20180101143000
8,20180101144500
16,20180101150000
22,20180101151500
8,20180101153000
18,20180101154500
16,20180101160000
16,20180101161500
16,20180101163000
26,20180101164500
36,20180101170000
34,20180101171500
26,20180101173000
8,20180101174500
0,20180101180000
0,20180101181500
0,20180101183000
0,20180101184500
0,20180101190000
0,20180101191500
0,20180101193000
0,20180101194500
0,20180101200000
0,20180101201500
0,20180101203000
0,20180101204500
0,20180101210000
0,20180101211500
0,20180101213000
0,20180101214500
0,20180101220000
0,20180101221500
0,20180101223000
0,20180101224500
0,20180101230000
0,20180101231500
0,20180101233000
0,20180101234500
0,20180102000000
0,20180102001500
0,20180102003000
0,20180102004500
0,20180102010000
0,20180102011500
0,20180102013000
0,20180102014500
0,20180102020000
0,20180102021500
0,20180102023000
0,20180102024500
0,20180102030000
0,20180102031500
0,20180102033000
0,20180102034500
0,20180102040000
0,20180102041500
0,20180102043000
0,20180102044500
0,20180102050000
0,20180102051500
0,20180102053000
0,20180102054500
0,20180102060000
0,20180102061500
0,20180102063000
0,20180102064500
0,20180102070000
0,20180102071500
0,20180102073000
0,20180102074500
0,20180102080000
0,20180102081500
4,20180102083000
0,20180102084500
14,20180102090000
4,20180102091500
8,20180102093000
4,20180102094500
0,20180102100000
14,20180102101500
16,20180102103000
30,20180102104500
12,20180102110000
22,20180102111500
22,20180102113000
30,20180102114500
38,20180102120000
28,20180102121500
30,20180102123000
24,20180102124500
22,20180102130000
8,20180102131500
16,20180102133000
30,20180102134500
2,20180102140000
4,20180102141500
32,20180102143000
12,20180102144500
36,20180102150000
30,20180102151500
16,20180102153000
10,20180102154500
14,20180102160000
32,20180102161500
28,20180102163000
24,20180102164500
20,20180102170000
26,20180102171500
16,20180102173000
20,20180102174500
2,20180102180000
2,20180102181500
10,20180102183000
0,20180102184500
0,20180102190000
0,20180102191500
0,20180102193000
0,20180102194500
0,20180102200000
0,20180102201500
0,20180102203000
0,20180102204500
0,20180102210000
0,20180102211500
0,20180102213000
0,20180102214500
0,20180102220000
0,20180102221500
0,20180102223000
0,20180102224500
0,20180102230000
0,20180102231500
0,20180102233000
0,20180102234500
0,20180103000000
0,20180103001500
0,20180103003000
0,20180103004500
0,20180103010000
0,20180103011500
0,20180103013000
0,20180103014500
0,20180103020000
0,20180103021500
0,20180103023000
0,20180103024500
0,20180103030000
0,20180103031500
0,20180103033000
0,20180103034500
0,20180103040000
0,20180103041500
0,20180103043000
0,20180103044500
0,20180103050000
0,20180103051500
0,20180103053000
0,20180103054500
0,20180103060000
0,20180103061500
0,20180103063000
0,20180103064500
0,20180103070000
0,20180103071500
0,20180103073000
0,20180103074500
0,20180103080000
0,20180103081500
0,20180103083000
8,20180103084500
10,20180103090000
4,20180103091500
0,20180103093000
0,20180103094500
6,20180103100000
16,20180103101500
10,20180103103000
16,20180103104500
20,20180103110000
14,20180103111500
16,20180103113000
28,20180103114500
36,20180103120000
14,20180103121500
12,20180103123000
32,20180103124500
72,20180103130000
8,20180103131500
16,20180103133000
38,20180103134500
34,20180103140000
42,20180103141500
28,20180103143000
6,20180103144500
42,20180103150000
8,20180103151500
28,20180103153000
30,20180103154500
38,20180103160000
24,20180103161500
6,20180103163000
4,20180103164500
18,20180103170000
12,20180103171500
12,20180103173000
4,20180103174500
10,20180103180000
10,20180103181500
4,20180103183000
2,20180103184500
0,20180103190000
0,20180103191500
0,20180103193000
0,20180103194500
0,20180103200000
0,20180103201500
0,20180103203000
0,20180103204500
0,20180103210000
0,20180103211500
0,20180103213000
0,20180103214500
0,20180103220000
0,20180103221500
0,20180103223000
0,20180103224500
0,20180103230000
0,20180103231500
0,20180103233000
0,20180103234500
0,20180104000000
0,20180104001500
0,20180104003000
0,20180104004500
0,20180104010000
0,20180104011500
0,20180104013000
0,20180104014500
0,20180104020000
0,20180104021500
0,20180104023000
0,20180104024500
0,20180104030000
0,20180104031500
0,20180104033000
0,20180104034500
0,20180104040000
0,20180104041500
0,20180104043000
0,20180104044500
0,20180104050000
0,20180104051500
0,20180104053000
0,20180104054500
0,20180104060000
0,20180104061500
0,20180104063000
0,20180104064500
0,20180104070000
0,20180104071500
0,20180104073000
0,20180104074500
0,20180104080000
0,20180104081500
2,20180104083000
2,20180104084500
0,20180104090000
0,20180104091500
0,20180104093000
6,20180104094500
4,20180104100000
8,20180104101500
24,20180104103000
16,20180104104500
16,20180104110000
20,20180104111500
22,20180104113000
40,20180104114500
10,20180104120000
26,20180104121500
24,20180104123000
32,20180104124500
6,20180104130000
16,20180104131500
18,20180104133000
20,20180104134500
28,20180104140000
32,20180104141500
14,20180104143000
30,20180104144500
36,20180104150000
36,20180104151500
26,20180104153000
26,20180104154500
12,20180104160000
16,20180104161500
26,20180104163000
14,20180104164500
6,20180104170000
16,20180104171500
14,20180104173000
20,20180104174500
2,20180104180000
0,20180104181500
0,20180104183000
0,20180104184500
0,20180104190000
0,20180104191500
0,20180104193000
0,20180104194500
0,20180104200000
0,20180104201500
0,20180104203000
0,20180104204500
0,20180104210000
0,20180104211500
0,20180104213000
0,20180104214500
0,20180104220000
0,20180104221500
0,20180104223000
0,20180104224500
0,20180104230000
0,20180104231500
0,20180104233000
0,20180104234500
0,20180105000000
0,20180105001500
0,20180105003000
0,20180105004500
0,20180105010000
0,20180105011500
0,20180105013000
0,20180105014500
0,20180105020000
0,20180105021500
0,20180105023000
0,20180105024500
0,20180105030000
0,20180105031500
0,20180105033000
0,20180105034500
0,20180105040000
0,20180105041500
0,20180105043000
0,20180105044500
0,20180105050000
0,20180105051500
0,20180105053000
0,20180105054500
0,20180105060000
0,20180105061500
0,20180105063000
0,20180105064500
0,20180105070000
0,20180105071500
0,20180105073000
0,20180105074500
0,20180105080000
0,20180105081500
2,20180105083000
0,20180105084500
4,20180105090000
0,20180105091500
4,20180105093000
24,20180105094500
6,20180105100000
22,20180105101500
8,20180105103000
32,20180105104500
24,20180105110000
30,20180105111500
32,20180105113000
12,20180105114500
40,20180105120000
28,20180105121500
20,20180105123000
12,20180105124500
20,20180105130000
16,20180105131500
22,20180105133000
18,20180105134500
20,20180105140000
48,20180105141500
16,20180105143000
12,20180105144500
16,20180105150000
36,20180105151500
26,20180105153000
14,20180105154500
30,20180105160000
18,20180105161500
24,20180105163000
22,20180105164500
2,20180105170000
4,20180105171500
8,20180105173000
8,20180105174500
4,20180105180000
8,20180105181500
0,20180105183000
0,20180105184500
0,20180105190000
0,20180105191500
0,20180105193000
0,20180105194500
0,20180105200000
0,20180105201500
0,20180105203000
0,20180105204500
0,20180105210000
0,20180105211500
0,20180105213000
0,20180105214500
0,20180105220000
0,20180105221500
0,20180105223000
0,20180105224500
0,20180105230000
0,20180105231500
0,20180105233000
0,20180105234500
0,20180106000000
0,20180106001500
0,20180106003000
0,20180106004500
0,20180106010000
0,20180106011500
0,20180106013000
0,20180106014500
0,20180106020000
0,20180106021500
0,20180106023000
0,20180106024500
0,20180106030000
0,20180106031500
0,20180106033000
0,20180106034500
0,20180106040000
0,20180106041500
0,20180106043000
0,20180106044500
0,20180106050000
0,20180106051500
0,20180106053000
0,20180106054500
0,20180106060000
0,20180106061500
0,20180106063000
0,20180106064500
0,20180106070000
0,20180106071500
0,20180106073000
0,20180106074500
0,20180106080000
0,20180106081500
0,20180106083000
0,20180106084500
0,20180106090000
0,20180106091500
2,20180106093000
8,20180106094500
8,20180106100000
12,20180106101500
14,20180106103000
18,20180106104500
28,20180106110000
26,20180106111500
4,20180106113000
20,20180106114500
16,20180106120000
28,20180106121500
6,20180106123000
26,20180106124500
24,20180106130000
0,20180106131500
12,20180106133000
26,20180106134500
18,20180106140000
18,20180106141500
8,20180106143000
12,20180106144500
16,20180106150000
8,20180106151500
4,20180106153000
8,20180106154500
28,20180106160000
10,20180106161500
16,20180106163000
32,20180106164500
18,20180106170000
16,20180106171500
0,20180106173000
4,20180106174500
0,20180106180000
0,20180106181500
0,20180106183000
0,20180106184500
0,20180106190000
0,20180106191500
0,20180106193000
0,20180106194500
0,20180106200000
0,20180106201500
0,20180106203000
0,20180106204500
0,20180106210000
0,20180106211500
0,20180106213000
0,20180106214500
0,20180106220000
0,20180106221500
0,20180106223000
0,20180106224500
0,20180106230000
0,20180106231500
0,20180106233000
0,20180106234500
0,20180107000000
0,20180107001500
0,20180107003000
0,20180107004500
0,20180107010000
0,20180107011500
0,20180107013000
0,20180107014500
0,20180107020000
0,20180107021500
0,20180107023000
0,20180107024500
0,20180107030000
0,20180107031500
0,20180107033000
0,20180107034500
0,20180107040000
