,date,frequency,date_time,date_int
0,2014-01-02 10:00:00,2,2014-01-02 10:00:00,20140102100000
1,2014-01-02 11:00:00,11,2014-01-02 11:00:00,20140102110000
2,2014-01-02 12:00:00,14,2014-01-02 12:00:00,20140102120000
3,2014-01-02 13:00:00,14,2014-01-02 13:00:00,20140102130000
4,2014-01-02 14:00:00,15,2014-01-02 14:00:00,20140102140000
5,2014-01-02 15:00:00,15,2014-01-02 15:00:00,20140102150000
6,2014-01-02 16:00:00,13,2014-01-02 16:00:00,20140102160000
7,2014-01-02 17:00:00,8,2014-01-02 17:00:00,20140102170000
8,2014-01-02 18:00:00,0,2014-01-02 18:00:00,20140102180000
9,2014-01-02 19:00:00,0,2014-01-02 19:00:00,20140102190000
10,2014-01-02 20:00:00,0,2014-01-02 20:00:00,20140102200000
11,2014-01-02 21:00:00,0,2014-01-02 21:00:00,20140102210000
12,2014-01-02 22:00:00,0,2014-01-02 22:00:00,20140102220000
13,2014-01-02 23:00:00,0,2014-01-02 23:00:00,20140102230000
14,2014-01-03 00:00:00,0,2014-01-03 00:00:00,20140103000000
15,2014-01-03 01:00:00,0,2014-01-03 01:00:00,20140103010000
16,2014-01-03 02:00:00,0,2014-01-03 02:00:00,20140103020000
17,2014-01-03 03:00:00,0,2014-01-03 03:00:00,20140103030000
18,2014-01-03 04:00:00,0,2014-01-03 04:00:00,20140103040000
19,2014-01-03 05:00:00,0,2014-01-03 05:00:00,20140103050000
20,2014-01-03 06:00:00,0,2014-01-03 06:00:00,20140103060000
21,2014-01-03 07:00:00,0,2014-01-03 07:00:00,20140103070000
22,2014-01-03 08:00:00,2,2014-01-03 08:00:00,20140103080000
23,2014-01-03 09:00:00,4,2014-01-03 09:00:00,20140103090000
24,2014-01-03 10:00:00,7,2014-01-03 10:00:00,20140103100000
25,2014-01-03 11:00:00,10,2014-01-03 11:00:00,20140103110000
26,2014-01-03 12:00:00,10,2014-01-03 12:00:00,20140103120000
27,2014-01-03 13:00:00,11,2014-01-03 13:00:00,20140103130000
28,2014-01-03 14:00:00,34,2014-01-03 14:00:00,20140103140000
29,2014-01-03 15:00:00,34,2014-01-03 15:00:00,20140103150000
30,2014-01-03 16:00:00,36,2014-01-03 16:00:00,20140103160000
31,2014-01-03 17:00:00,6,2014-01-03 17:00:00,20140103170000
32,2014-01-03 18:00:00,3,2014-01-03 18:00:00,20140103180000
33,2014-01-03 19:00:00,0,2014-01-03 19:00:00,20140103190000
34,2014-01-03 20:00:00,0,2014-01-03 20:00:00,20140103200000
35,2014-01-03 21:00:00,0,2014-01-03 21:00:00,20140103210000
36,2014-01-03 22:00:00,0,2014-01-03 22:00:00,20140103220000
37,2014-01-03 23:00:00,0,2014-01-03 23:00:00,20140103230000
38,2014-01-04 00:00:00,0,2014-01-04 00:00:00,20140104000000
39,2014-01-04 01:00:00,0,2014-01-04 01:00:00,20140104010000
40,2014-01-04 02:00:00,0,2014-01-04 02:00:00,20140104020000
41,2014-01-04 03:00:00,0,2014-01-04 03:00:00,20140104030000
42,2014-01-04 04:00:00,0,2014-01-04 04:00:00,20140104040000
43,2014-01-04 05:00:00,0,2014-01-04 05:00:00,20140104050000
44,2014-01-04 06:00:00,0,2014-01-04 06:00:00,20140104060000
45,2014-01-04 07:00:00,0,2014-01-04 07:00:00,20140104070000
46,2014-01-04 08:00:00,0,2014-01-04 08:00:00,20140104080000
47,2014-01-04 09:00:00,0,2014-01-04 09:00:00,20140104090000
48,2014-01-04 10:00:00,6,2014-01-04 10:00:00,20140104100000
49,2014-01-04 11:00:00,4,2014-01-04 11:00:00,20140104110000
50,2014-01-04 12:00:00,10,2014-01-04 12:00:00,20140104120000
51,2014-01-04 13:00:00,14,2014-01-04 13:00:00,20140104130000
52,2014-01-04 14:00:00,13,2014-01-04 14:00:00,20140104140000
53,2014-01-04 15:00:00,9,2014-01-04 15:00:00,20140104150000
54,2014-01-04 16:00:00,21,2014-01-04 16:00:00,20140104160000
55,2014-01-04 17:00:00,2,2014-01-04 17:00:00,20140104170000
56,2014-01-04 18:00:00,2,2014-01-04 18:00:00,20140104180000
57,2014-01-04 19:00:00,0,2014-01-04 19:00:00,20140104190000
58,2014-01-04 20:00:00,0,2014-01-04 20:00:00,20140104200000
59,2014-01-04 21:00:00,0,2014-01-04 21:00:00,20140104210000
60,2014-01-04 22:00:00,0,2014-01-04 22:00:00,20140104220000
61,2014-01-04 23:00:00,0,2014-01-04 23:00:00,20140104230000
62,2014-01-05 00:00:00,0,2014-01-05 00:00:00,20140105000000
63,2014-01-05 01:00:00,0,2014-01-05 01:00:00,20140105010000
64,2014-01-05 02:00:00,0,2014-01-05 02:00:00,20140105020000
65,2014-01-05 03:00:00,0,2014-01-05 03:00:00,20140105030000
66,2014-01-05 04:00:00,0,2014-01-05 04:00:00,20140105040000
67,2014-01-05 05:00:00,0,2014-01-05 05:00:00,20140105050000
68,2014-01-05 06:00:00,0,2014-01-05 06:00:00,20140105060000
69,2014-01-05 07:00:00,0,2014-01-05 07:00:00,20140105070000
70,2014-01-05 08:00:00,0,2014-01-05 08:00:00,20140105080000
71,2014-01-05 09:00:00,0,2014-01-05 09:00:00,20140105090000
72,2014-01-05 10:00:00,0,2014-01-05 10:00:00,20140105100000
73,2014-01-05 11:00:00,10,2014-01-05 11:00:00,20140105110000
74,2014-01-05 12:00:00,7,2014-01-05 12:00:00,20140105120000
75,2014-01-05 13:00:00,2,2014-01-05 13:00:00,20140105130000
76,2014-01-05 14:00:00,0,2014-01-05 14:00:00,20140105140000
77,2014-01-05 15:00:00,6,2014-01-05 15:00:00,20140105150000
78,2014-01-05 16:00:00,4,2014-01-05 16:00:00,20140105160000
79,2014-01-05 17:00:00,0,2014-01-05 17:00:00,20140105170000
80,2014-01-05 18:00:00,0,2014-01-05 18:00:00,20140105180000
81,2014-01-05 19:00:00,0,2014-01-05 19:00:00,20140105190000
82,2014-01-05 20:00:00,0,2014-01-05 20:00:00,20140105200000
83,2014-01-05 21:00:00,0,2014-01-05 21:00:00,20140105210000
84,2014-01-05 22:00:00,0,2014-01-05 22:00:00,20140105220000
85,2014-01-05 23:00:00,0,2014-01-05 23:00:00,20140105230000
86,2014-01-06 00:00:00,0,2014-01-06 00:00:00,20140106000000
87,2014-01-06 01:00:00,0,2014-01-06 01:00:00,20140106010000
88,2014-01-06 02:00:00,0,2014-01-06 02:00:00,20140106020000
89,2014-01-06 03:00:00,0,2014-01-06 03:00:00,20140106030000
90,2014-01-06 04:00:00,0,2014-01-06 04:00:00,20140106040000
91,2014-01-06 05:00:00,0,2014-01-06 05:00:00,20140106050000
92,2014-01-06 06:00:00,0,2014-01-06 06:00:00,20140106060000
93,2014-01-06 07:00:00,0,2014-01-06 07:00:00,20140106070000
94,2014-01-06 08:00:00,0,2014-01-06 08:00:00,20140106080000
95,2014-01-06 09:00:00,0,2014-01-06 09:00:00,20140106090000
96,2014-01-06 10:00:00,4,2014-01-06 10:00:00,20140106100000
97,2014-01-06 11:00:00,2,2014-01-06 11:00:00,20140106110000
98,2014-01-06 12:00:00,4,2014-01-06 12:00:00,20140106120000
99,2014-01-06 13:00:00,4,2014-01-06 13:00:00,20140106130000
100,2014-01-06 14:00:00,4,2014-01-06 14:00:00,20140106140000
101,2014-01-06 15:00:00,10,2014-01-06 15:00:00,20140106150000
102,2014-01-06 16:00:00,2,2014-01-06 16:00:00,20140106160000
103,2014-01-06 17:00:00,0,2014-01-06 17:00:00,20140106170000
104,2014-01-06 18:00:00,0,2014-01-06 18:00:00,20140106180000
105,2014-01-06 19:00:00,0,2014-01-06 19:00:00,20140106190000
106,2014-01-06 20:00:00,0,2014-01-06 20:00:00,20140106200000
107,2014-01-06 21:00:00,0,2014-01-06 21:00:00,20140106210000
108,2014-01-06 22:00:00,0,2014-01-06 22:00:00,20140106220000
109,2014-01-06 23:00:00,0,2014-01-06 23:00:00,20140106230000
110,2014-01-07 00:00:00,0,2014-01-07 00:00:00,20140107000000
111,2014-01-07 01:00:00,0,2014-01-07 01:00:00,20140107010000
112,2014-01-07 02:00:00,0,2014-01-07 02:00:00,20140107020000
113,2014-01-07 03:00:00,0,2014-01-07 03:00:00,20140107030000
114,2014-01-07 04:00:00,0,2014-01-07 04:00:00,20140107040000
115,2014-01-07 05:00:00,0,2014-01-07 05:00:00,20140107050000
116,2014-01-07 06:00:00,0,2014-01-07 06:00:00,20140107060000
117,2014-01-07 07:00:00,0,2014-01-07 07:00:00,20140107070000
118,2014-01-07 08:00:00,0,2014-01-07 08:00:00,20140107080000
119,2014-01-07 09:00:00,0,2014-01-07 09:00:00,20140107090000
120,2014-01-07 10:00:00,0,2014-01-07 10:00:00,20140107100000
121,2014-01-07 11:00:00,0,2014-01-07 11:00:00,20140107110000
122,2014-01-07 12:00:00,2,2014-01-07 12:00:00,20140107120000
123,2014-01-07 13:00:00,0,2014-01-07 13:00:00,20140107130000
124,2014-01-07 14:00:00,6,2014-01-07 14:00:00,20140107140000
125,2014-01-07 15:00:00,4,2014-01-07 15:00:00,20140107150000
126,2014-01-07 16:00:00,6,2014-01-07 16:00:00,20140107160000
127,2014-01-07 17:00:00,0,2014-01-07 17:00:00,20140107170000
128,2014-01-07 18:00:00,4,2014-01-07 18:00:00,20140107180000
129,2014-01-07 19:00:00,0,2014-01-07 19:00:00,20140107190000
130,2014-01-07 20:00:00,0,2014-01-07 20:00:00,20140107200000
131,2014-01-07 21:00:00,0,2014-01-07 21:00:00,20140107210000
132,2014-01-07 22:00:00,0,2014-01-07 22:00:00,20140107220000
133,2014-01-07 23:00:00,0,2014-01-07 23:00:00,20140107230000
134,2014-01-08 00:00:00,0,2014-01-08 00:00:00,20140108000000
135,2014-01-08 01:00:00,0,2014-01-08 01:00:00,20140108010000
136,2014-01-08 02:00:00,0,2014-01-08 02:00:00,20140108020000
137,2014-01-08 03:00:00,0,2014-01-08 03:00:00,20140108030000
138,2014-01-08 04:00:00,0,2014-01-08 04:00:00,20140108040000
139,2014-01-08 05:00:00,0,2014-01-08 05:00:00,20140108050000
140,2014-01-08 06:00:00,0,2014-01-08 06:00:00,20140108060000
141,2014-01-08 07:00:00,0,2014-01-08 07:00:00,20140108070000
142,2014-01-08 08:00:00,0,2014-01-08 08:00:00,20140108080000
143,2014-01-08 09:00:00,0,2014-01-08 09:00:00,20140108090000
144,2014-01-08 10:00:00,3,2014-01-08 10:00:00,20140108100000
145,2014-01-08 11:00:00,1,2014-01-08 11:00:00,20140108110000
146,2014-01-08 12:00:00,2,2014-01-08 12:00:00,20140108120000
147,2014-01-08 13:00:00,8,2014-01-08 13:00:00,20140108130000
148,2014-01-08 14:00:00,3,2014-01-08 14:00:00,20140108140000
149,2014-01-08 15:00:00,2,2014-01-08 15:00:00,20140108150000
150,2014-01-08 16:00:00,0,2014-01-08 16:00:00,20140108160000
151,2014-01-08 17:00:00,2,2014-01-08 17:00:00,20140108170000
152,2014-01-08 18:00:00,0,2014-01-08 18:00:00,20140108180000
153,2014-01-08 19:00:00,0,2014-01-08 19:00:00,20140108190000
